start,low,high,open,close,volume
1737470700,3287.01,3309.7,3298.97,3300.54,1725.97176784
1737471000,3289.43,3306.95,3300.54,3291.57,686.1117413
1737471300,3277.4,3296.26,3292.22,3286.25,783.39274164
1737471600,3270.7,3291.97,3286.04,3271.44,912.03398247
1737471900,3261.89,3283.88,3271.45,3278.31,901.68957178
1737472200,3264.94,3284.99,3278.37,3272.07,607.03855449
1737472500,3268.41,3285.75,3272.07,3285.34,1164.46910177
1737472800,3282.27,3294.4,3285.48,3290.58,1598.08532901
1737473100,3290.58,3301.16,3290.58,3296.27,830.60328485
1737473400,3288.53,3297.1,3296.17,3289.43,976.63219192
1737473700,3275.54,3289.42,3289.42,3284.14,1068.64124821
1737474000,3281.57,3298.94,3284.13,3290.31,1243.94171604
1737474300,3278.28,3291.4,3290.24,3280.78,859.860605
1737474600,3275.62,3288.34,3280.77,3286.93,752.48747213
1737474900,3283.82,3294.98,3286.92,3292.59,805.6361106
1737475200,3288.01,3295.71,3292.58,3291.53,801.83023108
1737475500,3292.04,3325,3292.12,3318.58,2654.37355681
1737475800,3316.94,3343.27,3318.55,3337.99,3993.58763232
1737476100,3330.71,3347.99,3338.31,3340.21,2749.6873437
1737476400,3334.06,3347.96,3340.76,3336.16,2952.82950116
1737476700,3307.69,3339.7,3335.52,3315.5,2865.19813692
1737477000,3314.19,3324.68,3315,3316.55,1668.20128985
1737477300,3301.13,3322.67,3316.99,3310.54,966.73687939
1737477600,3306.49,3315.74,3310.62,3308.73,911.72690839
1737477900,3308.2,3319.77,3308.73,3317.39,595.96099397
1737478200,3311.5,3321.18,3317.09,3312.29,358.93193742
